benchmark,reordering,sim,skips,merge_calls,transfer_calls,transfer_time,merge_time,simulation_time,assertion_time,peak_nodes,gc_time,reordering_time,cudd_memory
fat6_linkFaults_bfs,disabled,Classic Simulator,0,0,0,0,0,0,0,0,0,0,0
fat6_linkFaults_bfs,disabled,New Simulator,0,0,0,0,0,0,0,0,0,0,0
fat6_linkFaults_bfs,disabled,New Simulator,1,0,0,0,0,0,0,0,0,0,0
fat6_linkFaults_bfs,disabled,New Simulator,3,0,0,0,0,0,0,0,0,0,0
fat6_linkFaults_bfs,disabled,New Simulator,6,0,0,0,0,0,0,0,0,0,0
fat6_linkFaults_bfs,WINDOW2,Classic Simulator,0,0,0,0,0,0,0,0,0,0,0
fat6_linkFaults_bfs,WINDOW2,New Simulator,0,0,0,0,0,0,0,0,0,0,0
fat6_linkFaults_bfs,WINDOW2,New Simulator,1,0,0,0,0,0,0,0,0,0,0
fat6_linkFaults_bfs,WINDOW2,New Simulator,3,0,0,0,0,0,0,0,0,0,0
fat6_linkFaults_bfs,WINDOW2,New Simulator,6,0,0,0,0,0,0,0,0,0,0
fat6_linkFaults_bfs,WINDOW2_CONV,Classic Simulator,0,0,0,0,0,0,0,0,0,0,0
fat6_linkFaults_bfs,WINDOW2_CONV,New Simulator,0,0,0,0,0,0,0,0,0,0,0
fat6_linkFaults_bfs,WINDOW2_CONV,New Simulator,1,0,0,0,0,0,0,0,0,0,0
fat6_linkFaults_bfs,WINDOW2_CONV,New Simulator,3,0,0,0,0,0,0,0,0,0,0
fat6_linkFaults_bfs,WINDOW2_CONV,New Simulator,6,0,0,0,0,0,0,0,0,0,0
fat6_linkFaults_bfs,WINDOW3,Classic Simulator,0,0,0,0,0,0,0,0,0,0,0
fat6_linkFaults_bfs,WINDOW3,New Simulator,0,0,0,0,0,0,0,0,0,0,0
fat6_linkFaults_bfs,WINDOW3,New Simulator,1,0,0,0,0,0,0,0,0,0,0
fat6_linkFaults_bfs,WINDOW3,New Simulator,3,0,0,0,0,0,0,0,0,0,0
fat6_linkFaults_bfs,WINDOW3,New Simulator,6,0,0,0,0,0,0,0,0,0,0
fat6_linkFaults_bfs,WINDOW3_CONV,Classic Simulator,0,0,0,0,0,0,0,0,0,0,0
fat6_linkFaults_bfs,WINDOW3_CONV,New Simulator,0,0,0,0,0,0,0,0,0,0,0
fat6_linkFaults_bfs,WINDOW3_CONV,New Simulator,1,0,0,0,0,0,0,0,0,0,0
fat6_linkFaults_bfs,WINDOW3_CONV,New Simulator,3,0,0,0,0,0,0,0,0,0,0
fat6_linkFaults_bfs,WINDOW3_CONV,New Simulator,6,0,0,0,0,0,0,0,0,0,0
